,param_alpha,mean_train_score,mean_test_score,mean_fit_time
0,0.1,0.9339852093015905,0.8894328845369237,0.02879664897918701
1,0.2,0.9278249621816105,0.8831316016138537,0.03924722671508789
2,0.30000000000000004,0.9227023502488523,0.8792329661362709,0.028883886337280274
3,0.4,0.9183654947399834,0.8763316560134186,0.030118441581726073
4,0.5,0.9145827103976606,0.8737476766852532,0.029747796058654786
5,0.6000000000000001,0.9115907451279636,0.8713903622104356,0.04390542507171631
6,0.7000000000000001,0.9084678193125061,0.8681717212928963,0.035091590881347653
7,0.8,0.9053247243490141,0.8657237408767396,0.03851509094238281
8,0.9,0.9024385228428675,0.8639557550206265,0.01831357479095459
9,1.0,0.8994566265428728,0.8621424361938438,0.01664016246795654
